gene	pLI	pRec	mis_z
DENR	8.7514e-01	1.2457e-01	1.5820e+00
DEPDC1	7.6350e-10	9.9379e-01	4.4270e-01
DEPDC1B	4.4233e-10	8.0272e-01	8.5151e-01
DEPDC4	1.0075e-09	4.8591e-02	-3.3707e-01
DEPDC5	1.1650e-01	8.8350e-01	2.6501e+00
DEPDC7	8.3246e-11	4.5511e-01	9.5845e-01
DEPTOR	3.7245e-12	4.7583e-02	8.7486e-02
DERA	3.7318e-04	9.5913e-01	1.2650e-01
DERL1	2.1136e-04	9.8024e-01	1.1192e+00
DERL2	9.5740e-01	4.2584e-02	1.6165e+00
DERL3	2.1900e-04	7.5759e-01	-1.6555e-01
DES	8.8282e-03	9.9071e-01	1.7729e+00
DESI1	5.7118e-03	9.0896e-01	8.5618e-01
DESI2	8.4830e-01	1.5121e-01	1.9118e+00
DET1	6.7903e-01	3.2093e-01	8.2570e-01
DEXI	4.1450e-01	4.7516e-01	-1.0579e-01
DFFA	8.6585e-05	7.9258e-01	3.2200e-01
DFFB	1.1349e-05	8.2624e-01	4.1463e-01
DFNA5	3.2843e-09	5.2474e-01	-8.4201e-01
DFNB31	7.6538e-05	9.9919e-01	-3.2453e-01
DFNB59	3.7194e-08	5.6812e-01	1.3373e-01
DGAT1	1.4082e-17	2.1612e-02	1.0432e+00
DGAT2	8.3643e-12	1.4155e-01	8.2315e-01
DGAT2L6	5.5267e-11	3.2814e-02	-4.8618e-01
DGCR14	2.4382e-07	9.0882e-01	2.6947e-01
DGCR2	5.1573e-06	9.6756e-01	6.6410e-01
DGCR6	9.8176e-12	1.1954e-02	-1.3775e-01
DGCR6L	5.0636e-05	6.8547e-01	5.3504e-01
DGCR8	9.9973e-01	2.7169e-04	2.9898e+00
DGKA	4.6072e-01	5.3928e-01	2.4980e+00
DGKB	5.2991e-01	4.7009e-01	1.9459e+00
DGKD	7.2171e-02	9.2783e-01	2.9572e+00
DGKE	5.4906e-06	9.9868e-01	5.9049e-01
DGKG	6.0186e-13	9.8801e-01	1.2455e-01
DGKH	2.6429e-02	9.7357e-01	3.0027e+00
DGKI	9.3134e-01	6.8656e-02	3.0849e+00
DGKQ	1.7603e-09	9.9962e-01	1.0407e-01
DGKZ	3.9507e-02	9.6049e-01	2.7629e+00
DGUOK	3.7122e-07	5.8448e-01	-4.6784e-01
DHCR24	3.1029e-02	9.6890e-01	1.5014e+00
DHCR7	3.9490e-13	4.7078e-02	-4.5173e-01
DHDDS	2.4533e-01	7.5443e-01	1.0905e+00
DHDH	9.1294e-10	8.6872e-02	9.9010e-02
DHFR	3.4300e-02	9.3157e-01	1.0121e+00
DHFRL1	2.2496e-01	6.5688e-01	5.9684e-01
DHH	2.2445e-01	7.6844e-01	1.6387e+00
DHODH	2.9884e-03	9.8621e-01	-3.3747e-01
DHPS	1.6305e-04	9.7204e-01	-3.9259e-01
DHRS1	3.9562e-15	3.1797e-03	2.6990e-01
DHRS11	2.2434e-06	4.9315e-01	5.2758e-01
DHRS12	1.0374e-08	3.2207e-01	2.5079e-01
DHRS13	2.5578e-02	9.2350e-01	5.5449e-01
DHRS2	8.7228e-07	3.1901e-01	-1.1694e+00
DHRS3	2.2581e-01	7.6717e-01	1.4782e+00
DHRS4	1.0222e-05	5.7949e-01	-1.5146e+00
DHRS4L2	4.6376e-07	2.3106e-01	-2.1321e+00
DHRS7	9.8631e-12	4.3911e-02	7.6239e-02
DHRS7B	6.7664e-09	1.4304e-01	7.4754e-01
DHRS7C	3.2734e-08	1.8424e-01	3.5139e-01
DHRS9	7.2309e-08	1.5478e-01	-1.0502e+00
DHRSX	2.6081e-04	7.9063e-01	2.4276e-01
DHTKD1	2.7884e-30	9.5109e-05	-1.1599e-01
DHX15	1.0000e+00	4.0830e-07	5.6313e+00
DHX16	1.5996e-12	9.9999e-01	3.0787e+00
DHX29	3.7730e-09	1.0000e+00	1.9285e+00
DHX30	1.0000e+00	5.7089e-08	5.2961e+00
DHX32	1.6487e-09	9.5451e-01	1.2593e+00
DHX33	9.1366e-06	9.9936e-01	4.6247e-01
DHX34	6.5588e-13	9.9780e-01	-8.4434e-02
DHX35	4.3653e-25	4.1227e-03	4.7724e-01
DHX36	4.7221e-01	5.2779e-01	1.8412e+00
DHX37	9.9252e-01	7.4807e-03	1.8276e+00
DHX38	2.1124e-12	1.0000e+00	2.6725e+00
DHX40	7.5560e-01	2.4440e-01	3.0176e+00
DHX57	9.0569e-16	9.9998e-01	-9.6225e-01
DHX58	3.2013e-13	2.6722e-01	5.1652e-01
DHX8	9.1546e-07	1.0000e+00	5.0317e+00
DHX9	1.0000e+00	2.8175e-10	5.8433e+00
DIABLO	2.5722e-06	5.2189e-01	-1.1231e+00
DIAPH1	9.1507e-01	8.4926e-02	1.6505e+00
DIAPH2	9.9443e-01	5.5729e-03	1.8331e+00
DIAPH3	1.9877e-15	9.9937e-01	2.5724e-01
DICER1	1.0000e+00	7.1662e-09	4.2261e+00
DIDO1	1.0000e+00	2.6286e-07	1.0989e+00
DIEXF	1.2381e-06	9.9954e-01	5.7543e-01
DIMT1	3.9098e-07	8.2128e-01	3.2042e-01
DIO1	5.8399e-01	4.1403e-01	4.7876e-01
DIO2	6.1960e-01	3.7894e-01	9.3458e-01
DIO3	6.2331e-01	3.6994e-01	1.9723e+00
DIP2A	1.1301e-01	8.8699e-01	2.6228e+00
DIP2B	9.9924e-01	7.6293e-04	3.1809e+00
DIP2C	1.0000e+00	8.9231e-10	4.6684e+00
DIRAS1	3.8800e-01	5.7323e-01	2.0652e+00
DIRAS2	4.7802e-01	5.0125e-01	1.9643e+00
DIRC2	2.2526e-09	4.4709e-01	1.3250e+00
DIRC3	3.4129e-07	5.6489e-02	-2.6468e-01
DIS3	1.2694e-21	1.1635e-01	6.9306e-01
DIS3L	1.4172e-18	6.7507e-01	9.3413e-01
DIS3L2	9.4400e-01	5.6000e-02	9.4426e-01
DISC1	1.6756e-06	9.9289e-01	4.1037e-01
DISP1	8.8581e-08	9.9999e-01	9.3012e-01
DISP2	1.9897e-01	8.0103e-01	9.1125e-01
DIXDC1	7.3213e-11	9.9849e-01	1.4133e+00
DKC1	9.9916e-01	8.4146e-04	3.3994e+00
DKFZP761J1410	9.9025e-01	9.7497e-03	1.6935e+00
DKFZP779J2370	3.0253e-02	6.1158e-01	7.9044e-01
DKK1	1.7423e-01	8.1400e-01	1.7593e-01
DKK2	7.5318e-01	2.4643e-01	4.1509e-01
DKK3	4.1049e-06	8.4162e-01	8.0200e-01
DKK4	7.6744e-04	7.8416e-01	2.2630e-01
DKKL1	3.9771e-04	6.4986e-01	-1.5626e-01
DLAT	2.2998e-08	9.7351e-01	4.1685e-01
DLC1	9.9948e-01	5.1890e-04	-2.9310e+00
DLD	9.5142e-03	9.9040e-01	1.0981e+00
DLEC1	2.1303e-35	8.4841e-02	-4.9913e-01
DLEU1	4.7033e-01	4.4935e-01	6.8335e-01
DLEU2L	3.7476e-01	4.8870e-01	2.4768e-01
DLEU7	1.8452e-01	6.5785e-01	7.3024e-01
DLG1	9.9393e-01	6.0693e-03	1.4957e+00
DLG2	7.0796e-01	2.9204e-01	2.0762e+00
DLG3	9.9999e-01	7.0334e-06	2.8769e+00
DLG4	9.9954e-01	4.6000e-04	4.9330e+00
DLG5	9.9948e-01	5.2258e-04	2.5887e+00
DLGAP1	9.9875e-01	1.2510e-03	3.2012e+00
DLGAP2	9.9989e-01	1.1381e-04	-9.9638e-01
DLGAP3	9.9998e-01	1.9364e-05	2.6275e+00
DLGAP4	9.9248e-01	7.5183e-03	2.7554e+00
DLGAP5	1.1806e-14	8.9179e-01	1.0843e-01
DLK1	3.4576e-02	9.5811e-01	5.8304e-01
DLK2	7.7915e-01	2.2057e-01	1.9267e+00
DLL1	9.9999e-01	1.3612e-05	1.8154e+00
DLL3	5.3576e-05	9.7214e-01	3.2947e-01
DLL4	9.9982e-01	1.7831e-04	2.7062e+00
DLST	4.8474e-01	5.1522e-01	5.8464e-01
DLX1	9.6232e-01	3.7608e-02	1.8172e+00
DLX2	9.7847e-01	2.1517e-02	9.4875e-01
DLX3	2.5519e-03	9.3815e-01	9.5718e-01
DLX4	1.6921e-02	8.9719e-01	-1.9714e-02
DLX5	2.1842e-01	7.7406e-01	3.8744e-02
DLX6	9.2126e-01	7.8649e-02	1.1694e+00
DMAP1	4.1133e-02	9.5863e-01	2.2939e+00
DMBT1	4.4760e-63	2.0669e-08	-2.1858e+00
DMBX1	9.2957e-01	7.0367e-02	8.3056e-01
DMC1	5.0628e-05	9.9351e-01	1.2676e+00
DMD	1.0000e+00	3.5871e-15	-2.4322e+00
DMGDH	2.0503e-24	2.7649e-03	5.6289e-01
DMKN	8.3445e-13	4.2538e-01	1.9797e-01
DMP1	1.4881e-07	6.2795e-01	2.7340e-01
DMPK	3.8339e-02	9.6161e-01	2.8488e-01
DMRT1	7.3870e-01	2.6084e-01	-4.3823e-01
DMRT2	9.6606e-03	9.8057e-01	-2.0617e+00
DMRT3	6.1531e-06	7.1037e-01	-1.6912e+00
DMRTA1	6.3708e-06	7.1760e-01	-1.1751e+00
DMRTA2	9.1608e-01	8.3408e-02	1.4027e+00
DMRTB1	8.2857e-01	1.7075e-01	1.0603e+00
DMRTC1	2.3698e-02	5.6214e-01	8.5790e-01
DMRTC2	7.3104e-01	2.6886e-01	9.1367e-01
DMTF1	9.6706e-01	3.2939e-02	2.2024e+00
DMTN	9.0082e-01	9.9178e-02	1.2550e+00
DMWD	3.6917e-01	6.3039e-01	2.4078e+00
DMXL1	1.0000e+00	2.8137e-09	-4.8851e-01
DMXL2	1.0000e+00	1.6277e-13	2.3662e+00
DNA2	1.2748e-18	6.5218e-01	7.3564e-01
DNAAF1	8.4672e-12	6.8019e-01	-1.9871e+00
DNAAF2	6.4811e-09	6.7239e-01	-2.5222e-01
DNAAF3	5.5391e-08	8.6330e-01	4.1196e-01
DNAH1	1.4983e-26	1.0000e+00	1.2102e+00
DNAH10	1.3846e-57	1.0000e+00	1.5457e+00
DNAH10OS	1.7857e-04	2.8250e-01	-1.0517e-01
DNAH11	2.5389e-58	1.0000e+00	-5.6082e+00
DNAH12	9.0946e-10	4.8878e-01	6.1784e-01
DNAH14	2.6938e-16	4.6655e-03	1.0233e+00
DNAH17	1.9559e-63	9.9978e-01	-3.1279e+00
DNAH17-AS1	8.3797e-02	5.7036e-01	-3.9714e-01
DNAH2	1.2998e-44	1.0000e+00	1.8830e+00
DNAH3	1.5364e-64	8.5900e-01	2.9906e-02
DNAH5	4.8607e-64	1.0000e+00	-7.7081e-01
DNAH6	1.1201e-36	1.0000e+00	3.5535e+00
DNAH7	1.3505e-71	2.5032e-02	-1.0900e+00
DNAH8	1.1489e-60	1.0000e+00	1.2070e+00
DNAH9	3.0547e-60	1.0000e+00	-4.2898e-02
DNAI1	2.4183e-08	9.9893e-01	-2.9250e-01
DNAI2	9.5317e-13	6.8903e-01	4.2282e-01
DNAJA1	9.0813e-02	9.0886e-01	2.2318e+00
DNAJA2	9.9796e-01	2.0400e-03	2.4788e+00
DNAJA3	9.8017e-03	9.8980e-01	-3.8635e-01
DNAJA4	2.0027e-03	9.9404e-01	9.3524e-01
DNAJB1	3.9437e-02	9.3256e-01	1.3135e-01
DNAJB11	2.2551e-01	7.7419e-01	1.7723e+00
DNAJB12	4.4012e-01	5.5963e-01	5.7969e-01
DNAJB13	2.8524e-03	9.8562e-01	6.7760e-01
DNAJB14	9.3874e-01	6.1258e-02	1.6889e+00
DNAJB2	5.4440e-05	8.9125e-01	7.2142e-01
DNAJB4	1.6227e-02	9.6190e-01	1.2077e+00
DNAJB5	2.0629e-01	7.9196e-01	3.1489e+00
DNAJB6	8.5436e-01	1.4562e-01	1.1745e+00
DNAJB7	8.5920e-09	4.6337e-02	-7.6377e-01
DNAJB8	9.5207e-02	7.7994e-01	-5.1710e-01
DNAJB9	3.6507e-01	6.2439e-01	-4.5550e-01
DNAJC1	1.3254e-08	9.8775e-01	5.1072e-01
DNAJC10	1.1869e-08	9.9998e-01	-1.0771e-01
DNAJC11	9.9893e-01	1.0747e-03	1.8474e+00
DNAJC12	2.0723e-06	4.7679e-01	6.3487e-02
DNAJC13	1.0000e+00	2.4864e-09	2.2836e+00
DNAJC14	9.9999e-01	6.5444e-06	1.5694e+00
DNAJC15	1.6820e-10	1.7143e-02	-4.2112e-01
DNAJC16	3.6232e-11	9.9589e-01	3.7401e-01
DNAJC17	2.0308e-03	9.9409e-01	2.6900e-01
DNAJC18	4.8219e-08	8.4271e-01	1.3339e+00
DNAJC19	6.1275e-04	7.4075e-01	8.7565e-01
DNAJC2	9.9102e-01	8.9795e-03	1.5202e+00
DNAJC21	2.1006e-07	9.9882e-01	2.5465e-01
DNAJC22	2.9031e-06	3.3338e-01	-1.3688e-01
DNAJC24	5.0103e-07	1.3191e-01	6.6038e-01
DNAJC25	1.2112e-05	8.3677e-01	9.3321e-01
DNAJC25-GNG10	1.3097e-03	4.3105e-01	9.0183e-01
DNAJC27	1.2809e-03	9.6421e-01	4.8433e-01
DNAJC28	1.6455e-08	2.3102e-01	1.5405e-02
DNAJC3	1.7493e-02	9.8247e-01	1.7141e+00
DNAJC30	2.3092e-02	7.8234e-01	-1.0791e+00
DNAJC4	1.8113e-10	3.4261e-02	-1.2858e-01
DNAJC5	8.1216e-01	1.8696e-01	1.7906e+00
DNAJC5B	2.2936e-06	2.9661e-01	2.6563e-01
DNAJC5G	5.8532e-05	4.7729e-01	5.5115e-02
DNAJC6	9.9986e-01	1.4211e-04	1.6003e+00
DNAJC7	9.9007e-01	9.9333e-03	2.5078e+00
DNAJC8	5.0961e-02	9.4821e-01	1.5569e+00
DNAJC9	4.5264e-03	9.6741e-01	1.2080e-01
DNAL1	8.8801e-03	9.4176e-01	1.1888e+00
DNAL4	2.8273e-03	5.9122e-01	4.4555e-01
DNALI1	4.1201e-11	5.2728e-02	1.5390e-02
DNASE1	6.9801e-21	3.4349e-05	-2.5455e+00
DNASE1L1	3.8833e-01	6.0281e-01	6.9320e-01
DNASE1L2	3.3152e-07	3.4257e-01	-3.4116e-01
DNASE1L3	3.0012e-05	8.0219e-01	-2.5510e-02
DNASE2	4.5225e-04	9.6811e-01	6.4377e-01
DNASE2B	3.6644e-16	2.9048e-03	1.5509e-01
DND1	4.3615e-01	5.6257e-01	2.2217e+00
DNER	1.8590e-01	8.1409e-01	5.6490e-01
DNHD1	1.2016e-72	4.6407e-01	3.4791e+00
DNLZ	2.4737e-04	3.3235e-01	-8.7397e-01
DNM1	9.9917e-01	8.2830e-04	5.1795e+00
DNM1L	5.6753e-04	9.9943e-01	3.8282e+00
DNM2	9.9998e-01	2.4806e-05	3.4829e+00
DNM3	2.4197e-03	9.9758e-01	2.6955e+00
DNMBP	5.7164e-17	9.9983e-01	6.5112e-01
DNMT1	1.0000e+00	2.1728e-10	4.9903e+00
DNMT3A	7.3538e-39	4.2717e-08	3.4465e+00
DNMT3B	1.9964e-01	8.0036e-01	1.5000e+00
DNMT3L	8.4150e-13	7.2716e-02	1.0302e-01
DNPEP	3.1627e-08	9.2654e-01	3.6662e-01
DNPH1	3.2074e-02	8.2838e-01	6.3792e-01
DNTT	2.9548e-10	7.2513e-01	-4.6636e-01
DNTTIP1	7.2720e-01	2.7277e-01	2.1237e+00
DNTTIP2	1.3493e-08	9.4676e-01	5.7356e-01
DOC2A	6.7028e-03	9.8988e-01	1.0885e+00
DOC2B	1.7055e-02	8.9786e-01	1.6732e+00
DOCK1	6.8117e-03	9.9319e-01	2.4128e+00
DOCK10	2.5524e-06	1.0000e+00	1.8796e+00
DOCK11	1.2097e-02	9.8790e-01	2.6842e+00
DOCK2	9.9969e-01	3.1007e-04	3.9399e+00
DOCK3	1.0000e+00	2.5575e-11	3.9356e+00
DOCK4	8.2562e-01	1.7438e-01	2.5162e+00
DOCK5	2.8994e-09	1.0000e+00	1.0495e+00
DOCK6	1.2563e-26	9.9997e-01	1.4347e+00
DOCK7	6.3580e-06	9.9999e-01	3.4194e+00
DOCK8	1.4870e-11	1.0000e+00	-2.5444e+00
DOCK9	1.0000e+00	5.0740e-09	3.0983e+00
DOHH	1.5986e-02	8.9210e-01	9.4095e-01
DOK1	2.9002e-02	9.6904e-01	9.2633e-02
DOK2	1.2082e-05	8.3638e-01	-8.6356e-01
DOK3	9.0501e-04	9.8693e-01	3.6432e-01
DOK4	9.1531e-02	9.0689e-01	1.0842e+00
DOK5	2.2609e-04	9.8196e-01	9.1656e-01
DOK6	1.5534e-01	8.4404e-01	1.3467e+00
DOK7	1.0263e-04	9.4894e-01	-2.5482e+00
DOLK	1.2393e-03	9.6272e-01	9.7652e-01
DOLPP1	1.7497e-01	8.2260e-01	1.7587e+00
DONSON	1.3190e-07	9.5030e-01	2.4311e-01
DOPEY1	9.9993e-01	6.5884e-05	3.3221e+00
DOPEY2	7.5465e-21	1.0000e+00	7.8012e-01
DOT1L	1.0000e+00	5.2016e-09	2.7249e+00
DPAGT1	1.1170e-05	8.2360e-01	1.4267e+00
DPCD	2.8791e-04	8.0826e-01	2.7924e-01
DPCR1	1.2265e-05	9.9795e-01	2.3625e+00
DPEP1	3.4730e-10	1.7503e-01	-1.1150e+00
DPEP2	3.2234e-10	1.6808e-01	3.3115e-01
DPEP3	5.2742e-10	2.1894e-01	1.0149e+00
DPF1	9.9049e-01	9.5086e-03	3.0732e+00
DPF2	9.9985e-01	1.5390e-04	2.8982e+00
DPF3	2.0501e-02	9.7883e-01	1.1488e+00
DPH1	8.0168e-17	8.4664e-03	-1.7769e-01
DPH2	9.0918e-06	9.3471e-01	7.5887e-01
DPH3	6.6294e-02	7.4558e-01	-9.1296e-02
DPH5	8.1083e-07	5.1307e-01	4.8136e-01
DPH6	1.1419e-05	8.2725e-01	6.1419e-01
DPH7	1.8603e-08	4.2479e-01	7.2464e-04
DPM1	1.6237e-04	9.7188e-01	3.7836e-01
DPM2	3.1786e-01	6.1972e-01	6.0444e-01
DPM3	2.3318e-01	6.5526e-01	4.1583e-01
DPP10	9.9999e-01	5.8686e-06	1.2238e+00
DPP3	6.7954e-11	9.9185e-01	1.2864e+00
DPP4	7.2797e-09	9.9999e-01	7.9137e-01
DPP6	3.3997e-01	6.6003e-01	2.2438e+00
DPP7	3.9946e-22	1.6901e-04	-1.1601e+00
DPP8	9.9791e-01	2.0933e-03	2.3563e+00
DPP9	9.8708e-01	1.2921e-02	2.6594e+00
DPPA2	4.7882e-09	2.1667e-01	1.6422e-01
DPPA3	2.1667e-01	7.4863e-01	-2.5330e-01
DPPA4	2.9363e-04	9.4465e-01	3.4295e-01
DPPA5	4.0632e-03	6.6948e-01	1.2243e+00
DPRX	2.4069e-06	9.1295e-02	1.0020e+00
DPT	4.2743e-06	6.3217e-01	7.6266e-02
DPY19L1	1.3176e-04	9.9985e-01	1.3803e+00
DPY19L2	1.0936e-13	8.9185e-01	7.1161e-01
DPY19L3	2.8534e-07	9.9985e-01	1.6720e+00
DPY19L4	1.4234e-21	3.4760e-02	5.7323e-01
DPY30	1.7695e-01	7.7290e-01	1.4653e+00
DPYD	3.3686e-22	1.0319e-01	-2.1667e-01
DPYS	2.7850e-11	2.6924e-01	3.3473e-01
DPYSL2	9.9375e-01	6.2522e-03	3.8756e+00
DPYSL3	9.9887e-01	1.1273e-03	2.4778e+00
DPYSL4	1.6340e-08	9.5834e-01	1.1463e+00
DPYSL5	9.9991e-01	9.3867e-05	3.0829e+00
DQX1	5.0034e-20	2.0674e-02	8.1224e-01
DR1	9.2117e-01	7.8391e-02	2.2338e+00
DRAM1	2.2771e-01	7.6539e-01	1.3219e+00
DRAM2	1.3570e-04	8.6521e-01	4.5368e-01
DRAP1	1.2990e-01	8.5015e-01	8.6661e-01
DRAXIN	1.8935e-10	6.6822e-02	1.3212e+00
DRC1	8.3157e-20	1.0004e-01	-4.6822e-02
DRD1	9.5550e-01	4.4393e-02	2.2559e+00
DRD2	7.4709e-01	2.5283e-01	2.6245e+00
DRD3	2.3694e-03	9.8269e-01	1.4698e+00
DRD4	9.3362e-09	4.8615e-02	-2.0004e+00
DRD5	1.3480e-16	4.3431e-04	-4.4594e-01
DRG1	3.2895e-01	6.7045e-01	2.2079e+00
DRG2	5.2108e-07	9.6458e-01	1.8224e+00
DRGX	2.3988e-04	7.7510e-01	2.1645e-01
DROSHA	9.3176e-02	9.0682e-01	3.9842e+00
DRP2	3.7475e-06	9.9990e-01	1.6995e+00
DSC1	3.4979e-16	6.6314e-01	-9.5256e-02
DSC2	5.1749e-08	9.9964e-01	3.7261e-01
DSC3	2.2848e-21	6.4974e-03	-6.4799e-01
DSCAM	1.0000e+00	2.8346e-08	3.2228e+00
DSCAML1	1.0000e+00	5.5870e-09	3.1500e+00
DSCC1	8.4752e-03	9.8909e-01	1.1747e+00
DSCR3	1.4872e-04	8.7763e-01	1.1150e+00
DSCR4	7.7840e-04	3.3775e-01	-1.6128e-01
DSCR8	5.4635e-05	1.5065e-01	7.8597e-01
DSE	6.3310e-01	3.6690e-01	2.0252e+00
DSEL	7.2945e-06	9.9999e-01	1.0596e+00
DSG1	9.2688e-01	7.3120e-02	-3.4109e-01
DSG2	2.7913e-10	9.9466e-01	2.9640e-01
DSG3	1.4584e-20	3.6865e-02	4.5957e-01
DSG4	5.9129e-13	9.8771e-01	-1.0163e+00
DSN1	8.8514e-08	7.5298e-01	6.7831e-01
DSP	9.9978e-01	2.2152e-04	5.9515e-01
DSPP	1.1191e-07	5.6567e-01	1.1036e+00
DST	1.0000e+00	2.6087e-18	2.2208e+00
DSTN	5.5116e-01	4.3676e-01	1.2326e+00
DSTYK	5.1262e-01	4.8738e-01	1.5861e+00
DTD1	1.8054e-03	9.0815e-01	1.1777e+00
DTD2	7.5939e-04	5.4815e-01	7.5987e-01
DTHD1	3.3986e-07	9.8603e-01	9.8873e-01
DTL	3.3019e-03	9.9669e-01	1.7777e+00
DTNA	6.3459e-01	3.6541e-01	1.4204e+00
DTNB	2.7969e-10	9.9468e-01	5.6726e-01
DTNBP1	6.8375e-06	9.0833e-01	-2.4422e-01
DTWD1	2.8135e-10	4.4227e-02	-4.9887e-02
DTWD2	2.8104e-09	8.7446e-02	-1.3692e+00
DTX1	9.8982e-04	9.9679e-01	2.7416e+00
DTX2	2.8903e-02	9.7070e-01	9.3132e-01
DTX3	8.8755e-01	1.1223e-01	2.1412e+00
DTX3L	5.2697e-06	9.9321e-01	3.3023e-01
DTX4	2.1699e-01	7.8294e-01	1.6678e+00
DTYMK	6.1537e-05	4.8759e-01	2.5060e-01
DUOX1	6.2238e-33	4.7841e-02	8.8638e-01
DUOX2	4.5032e-56	1.0727e-09	-1.1700e+00
DUOXA1	7.5867e-05	9.2587e-01	7.2109e-01
DUOXA2	1.2666e-15	8.4401e-04	-1.0479e+00
DUPD1	2.4781e-07	8.8853e-02	5.9352e-01
DUS1L	5.7260e-10	8.4547e-01	8.5450e-01
DUS2	3.7906e-11	9.2202e-01	6.0491e-01
DUS3L	2.1445e-11	8.5358e-01	1.5319e+00
DUS4L	3.1791e-05	8.1226e-01	7.5046e-01
DUSP1	1.0151e-02	9.4841e-01	1.7176e+00
DUSP10	8.3350e-01	1.6637e-01	1.1913e+00
DUSP11	8.4923e-07	7.5995e-01	4.2406e-01
DUSP12	1.3856e-04	9.6534e-01	5.8010e-01
DUSP13	1.1320e-05	6.0179e-01	3.2208e-01
DUSP14	1.2114e-01	7.8821e-01	1.4505e+00
DUSP15	3.7139e-06	3.7533e-01	-3.9665e-01
DUSP16	8.8867e-02	9.1106e-01	8.8953e-01
DUSP18	1.2048e-01	7.8817e-01	1.0744e-01
DUSP19	1.0044e-02	8.3670e-01	-9.0250e-02
DUSP2	4.4697e-05	4.2377e-01	8.4728e-02
DUSP21	3.2350e-04	2.1582e-01	5.2005e-01
DUSP22	9.3421e-03	9.4444e-01	4.5063e-01
DUSP23	6.6600e-04	5.2010e-01	2.9678e-01
DUSP26	2.3011e-04	7.6717e-01	1.2105e+00
DUSP27	5.2331e-19	4.2413e-02	-6.0363e-01
DUSP28	1.7995e-01	6.5710e-01	-1.0538e+00
DUSP3	4.6156e-01	5.1515e-01	1.1311e+00
DUSP4	8.8152e-01	1.1822e-01	1.4902e+00
DUSP5	3.3227e-03	9.5436e-01	6.9397e-01
DUSP6	9.7603e-01	2.3943e-02	1.2166e+00
DUSP7	6.9024e-01	3.0900e-01	2.5708e+00
DUSP8	6.9975e-01	2.9956e-01	2.3291e+00
DUSP9	8.1981e-01	1.7648e-01	1.3230e+00
DUT	1.2744e-03	8.6636e-01	1.1578e+00
DUXA	3.0459e-08	1.7720e-01	-2.1631e-02
DVL1	3.7313e-06	9.9772e-01	-1.1276e+00
DVL2	1.3576e-05	9.9963e-01	3.2198e-01
DVL3	3.8544e-01	6.1456e-01	2.3193e+00
DXO	3.6417e-10	1.7958e-01	9.1096e-01
DYDC1	2.6003e-04	7.9009e-01	2.0820e-01
DYDC2	3.4876e-03	6.3673e-01	4.1012e-01
DYM	3.5939e-13	9.0078e-01	2.3917e-01
DYNAP	2.5806e-03	5.7143e-01	-5.9825e-01
DYNC1H1	1.0000e+00	1.2281e-29	1.0967e+01
DYNC1I1	1.7637e-07	9.9969e-01	2.2135e+00
DYNC1I2	1.0648e-08	9.9653e-01	2.4516e+00
DYNC1LI1	9.6348e-01	3.6520e-02	1.0395e+00
DYNC1LI2	9.8346e-01	1.6542e-02	1.8932e+00
DYNC2H1	1.1366e-44	1.0000e+00	9.0927e-01
DYNC2LI1	3.1540e-09	5.1615e-01	-3.2613e-01
DYNLL1	6.9830e-01	2.8648e-01	2.0127e+00
DYNLL2	7.4311e-01	2.4718e-01	2.0108e+00
DYNLRB1	1.6147e-01	7.8003e-01	8.4464e-01
DYNLRB2	6.1715e-05	2.8981e-01	-9.1865e-01
DYNLT1	7.3232e-05	5.2409e-01	-2.6583e-01
DYNLT3	7.1894e-01	2.6859e-01	1.1749e-01
DYRK1A	9.9967e-01	3.2999e-04	3.3441e+00
DYRK1B	9.6905e-01	3.0954e-02	1.8452e+00
DYRK2	9.9751e-01	2.4881e-03	1.9520e+00
DYRK3	3.5842e-06	8.1961e-01	1.8561e-01
DYRK4	1.7785e-18	1.7331e-03	-2.5111e-01
DYSF	3.6528e-33	9.9992e-01	3.8903e-02
DYTN	5.7188e-19	6.3414e-03	-3.9378e-01
DYX1C1	9.7181e-10	5.0258e-01	-8.6732e-01
DZANK1	5.3034e-21	1.0655e-02	-1.3537e-01
DZIP1	3.1283e-20	1.0794e-01	9.5379e-01
DZIP1L	2.3897e-25	4.0455e-04	1.0107e-01
DZIP3	1.6537e-13	9.9999e-01	7.1181e-01
E2F1	9.8770e-01	1.2295e-02	2.0673e+00
E2F2	2.5505e-01	7.4385e-01	9.9688e-01
E2F3	9.4580e-01	5.4195e-02	1.5902e+00
E2F4	4.5258e-01	5.4719e-01	1.0850e+00
E2F5	9.3500e-01	6.4946e-02	8.6055e-01
E2F6	1.0158e-01	8.9196e-01	9.2156e-01
E2F7	9.9317e-01	6.8333e-03	1.6261e+00
E2F8	8.1778e-01	1.8222e-01	8.1380e-01
E4F1	8.0072e-02	9.1991e-01	1.3467e+00
EAF1	6.1490e-02	9.2404e-01	1.0124e+00
EAF2	2.2166e-07	2.8041e-01	2.4846e-01
EAPP	2.2259e-10	7.3296e-02	2.8676e-02
EARS2	1.1238e-08	7.8397e-01	1.0769e-01
EBAG9	7.7101e-02	9.1275e-01	9.6859e-01
EBF1	9.9697e-01	3.0297e-03	3.3780e+00
EBF2	9.9976e-01	2.4050e-04	2.1100e+00
EBF3	9.9993e-01	6.6660e-05	3.6113e+00
EBF4	3.1540e-04	9.9736e-01	1.8128e+00
EBI3	1.0797e-01	8.6490e-01	-2.7562e-01
